Date,Date,Energy,diff,Energy_log,Energy_log_diff
1939-01-01,1939-01-01,3.3842,,1.2191175416523892,
1939-02-01,1939-02-01,3.41,0.025800000000000267,1.2267122912954254,
1939-03-01,1939-03-01,3.4875,0.07749999999999968,1.249185147147484,
1939-04-01,1939-04-01,3.5133,0.025800000000000267,1.2565557667340643,
1939-05-01,1939-05-01,3.5133,0.0,1.2565557667340643,
1939-06-01,1939-06-01,3.565,0.05169999999999986,1.2711640538662592,
1939-07-01,1939-07-01,3.565,0.0,1.2711640538662592,
1939-08-01,1939-08-01,3.6167,0.05169999999999986,1.2855620078657481,
1939-09-01,1939-09-01,3.72,0.10330000000000039,1.3137236682850553,
1939-10-01,1939-10-01,3.72,0.0,1.3137236682850553,
1939-11-01,1939-11-01,3.7458,0.025799999999999823,1.3206352123136165,
1939-12-01,1939-12-01,3.7458,0.0,1.3206352123136165,
1940-01-01,1940-01-01,3.7717,0.025900000000000034,1.3275258282042326,0.10840828655184342
1940-02-01,1940-02-01,3.8233,0.05160000000000009,1.341113924039349,0.11440163274392368
1940-03-01,1940-03-01,3.8492,0.025900000000000034,1.3478653345001088,0.09868018735262485
1940-04-01,1940-04-01,3.8492,0.0,1.3478653345001088,0.09130956776604449
1940-05-01,1940-05-01,3.875,0.025799999999999823,1.3545456628053103,0.09798989607124597
1940-06-01,1940-06-01,3.9267,0.05169999999999986,1.3677993784836462,0.096635324617387
1940-07-01,1940-07-01,3.9267,0.0,1.3677993784836462,0.096635324617387
1940-08-01,1940-08-01,3.9783,0.05160000000000009,1.380854592369526,0.09529258450377776
1940-09-01,1940-09-01,4.03,0.0517000000000003,1.3937663759585917,0.08004270767353638
1940-10-01,1940-10-01,4.0558,0.02579999999999938,1.4001479554084262,0.08642428712337091
1940-11-01,1940-11-01,4.1592,0.1034000000000006,1.425322748087369,0.10468753577375245
1940-12-01,1940-12-01,4.1592,0.0,1.425322748087369,0.10468753577375245
1941-01-01,1941-01-01,4.185,0.02579999999999938,1.4315067039414386,0.10398087573720605
1941-02-01,1941-02-01,4.2367,0.0517000000000003,1.4437846643229155,0.10267074028356649
1941-03-01,1941-03-01,4.2883,0.051599999999999646,1.4558903840077932,0.10802504950768443
1941-04-01,1941-04-01,4.34,0.0517000000000003,1.4678743481123135,0.12000901361220473
